Tipo Titulo;Vencimento do Titulo;Data Venda;PU;Quantidade;Valor
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/01/2002;773.82;5.4;4178.62
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/01/2002;771.15;0.2;154.23
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/01/2002;773.82;1;773.82
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/01/2002;774.17;1.4;1083.84
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/01/2002;774.87;1;774.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/01/2002;774;1.2;928.8
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/01/2002;774.71;1;774.71
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/01/2002;776.68;1.2;932.01
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/01/2002;776.85;4.4;3418.14
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/01/2002;778.9;1.4;1090.46
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/01/2002;777.95;0.2;155.59
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;01/02/2002;781.91;1;781.91
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/02/2002;780.61;1.4;1092.86
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/02/2002;779.73;1;779.73
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/02/2002;780.97;5.2;4061.03
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/02/2002;781.93;1.6;1251.09
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/02/2002;784.23;1;784.23
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/02/2002;786.9;6.2;4878.78
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/02/2002;788.59;5;3942.95
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/02/2002;788.81;7.2;5679.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/03/2002;789.75;1;789.75
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/03/2002;789.45;0.2;157.89
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/03/2002;769.24;12;9230.88
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/03/2002;770.55;11;8476.05
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/03/2002;772.64;11.2;8653.56
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;13/03/2002;772.27;4;3089.08
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/03/2002;775.08;37;28677.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/03/2002;775.95;15;11639.25
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/03/2002;776.59;3;2329.77
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/04/2002;741.46;1;741.46
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/04/2002;741.82;2;1483.64
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/04/2002;744.63;1;744.63
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/04/2002;744.6;0.4;297.84
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/04/2002;747.11;3;2241.33
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/04/2002;747.34;5;3736.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/04/2002;749.18;0.4;299.67
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/04/2002;746.89;8;5975.12
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/05/2002;753.2;0.2;150.64
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/05/2002;754.53;0.4;301.81
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/05/2002;756.3;0.2;151.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/05/2002;755.85;1.4;1058.19
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/05/2002;758.53;0.4;303.41
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/05/2002;760.68;10;7606.8
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/06/2002;765.85;1.4;1072.19
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/06/2002;766.9;0.2;153.38
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/06/2002;768;0.2;153.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/06/2002;768.7;20;15374
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/06/2002;771.55;2.4;1851.72
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/06/2002;772.11;0.8;617.69
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;28/06/2002;776.94;1;776.94
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;01/07/2002;779.43;2.4;1870.62
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/07/2002;780.01;2;1560.02
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/07/2002;780.6;0.6;468.36
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/07/2002;781.15;0.2;156.23
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/07/2002;781.75;3.2;2501.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/07/2002;782.85;1.2;939.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/07/2002;784.05;0.2;156.81
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/07/2002;783.29;1.6;1253.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/07/2002;784.54;1;784.54
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/07/2002;787.35;0.6;472.41
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/07/2002;788.03;9;7092.27
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/07/2002;788.69;4.2;3312.49
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;18/07/2002;790;0.2;158
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/07/2002;790.02;14.6;11534.28
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/07/2002;793.83;6.4;5080.5
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/07/2002;796.09;0.8;636.87
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;29/07/2002;798.46;1.6;1277.54
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;30/07/2002;799.89;5.2;4159.42
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;31/07/2002;800.65;0.2;160.13
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/08/2002;804.15;0.2;160.83
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;06/08/2002;805.47;7.6;6121.56
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/08/2002;806.8;1.2;968.16
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;09/08/2002;808.13;2.6;2101.15
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/08/2002;810.15;1.6;1296.24
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/08/2002;818.18;1;818.18
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;22/08/2002;819.9;0.4;327.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/08/2002;822.3;0.2;164.46
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/08/2002;824.89;23;18972.47
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;27/08/2002;825.76;10;8257.6
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/09/2002;836.37;5.4;4516.38
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/09/2002;839.45;1.2;1007.34
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;05/09/2002;840.11;0.8;672.09
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/09/2002;843.39;62.2;52458.85
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;12/09/2002;847.55;2.8;2373.14
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;16/09/2002;851.34;1.6;1362.15
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;17/09/2002;853.55;1.4;1194.97
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/09/2002;855.75;0.2;171.15
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;19/09/2002;855.75;10.8;9242.1
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;20/09/2002;858.05;3.2;2745.76
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;23/09/2002;863.99;27.8;24018.91
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;24/09/2002;864.94;5;4324.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;25/09/2002;865.9;3;2597.7
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;26/09/2002;867.58;13.2;11452.05
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;02/10/2002;839.22;5.8;4867.47
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;03/10/2002;840.08;3.2;2688.26
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;04/10/2002;840.21;66;55453.86
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/10/2002;844.33;1;844.33
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;07/10/2002;844.33;4.6;3883.9
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;08/10/2002;849.01;1;849.01
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;10/10/2002;851.37;266.4;226804.96
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/10/2002;855.98;11.4;9758.15
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;11/10/2002;855.98;1.2;1027.17
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;14/10/2002;863.94;3.6;3110.17
Tesouro IGPM + Juros Semestral 04/2021;01/04/2021;15/10/2002;864.95;0.2;172.99
